epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1352.19,0.59299,0.47167,1.08293,0.73443,0.73384,0.76412,0.58166,0.79682,0.93919,1.4377,0.000258922,0.000258922,0.000258922
69,1371.97,0.60616,0.46923,1.08146,0.79314,0.64863,0.75361,0.58312,0.77954,0.94651,1.37651,0.000251309,0.000251309,0.000251309
70,1392.02,0.59582,0.46631,1.07583,0.76628,0.71215,0.75715,0.58762,0.75968,0.97419,1.3711,0.000243696,0.000243696,0.000243696
71,1412.34,0.59978,0.46555,1.08339,0.78564,0.68351,0.74543,0.56777,0.80412,1.03164,1.43315,0.000236083,0.000236083,0.000236083
72,1431.91,0.58869,0.45807,1.07235,0.74775,0.68054,0.72474,0.55821,0.80301,1.01437,1.44115,0.00022847,0.00022847,0.00022847
73,1451.06,0.58825,0.45017,1.07603,0.67551,0.73771,0.7436,0.57623,0.79326,0.99218,1.43712,0.000220857,0.000220857,0.000220857
74,1470.99,0.58875,0.45043,1.07581,0.75064,0.70869,0.75484,0.579,0.79444,1.05396,1.44653,0.000213244,0.000213244,0.000213244
75,1490.9,0.5839,0.44977,1.07459,0.78982,0.62862,0.73169,0.55905,0.80766,1.04105,1.46639,0.000205631,0.000205631,0.000205631
76,1510.51,0.5849,0.44616,1.06984,0.74839,0.69019,0.74097,0.56643,0.80741,1.01502,1.45513,0.000198018,0.000198018,0.000198018
77,1529.94,0.57838,0.43756,1.07085,0.69991,0.7006,0.72265,0.55189,0.817,1.00998,1.47913,0.000190404,0.000190404,0.000190404
78,1549.86,0.57482,0.43984,1.06383,0.7373,0.6891,0.7403,0.57077,0.81815,1.02045,1.45849,0.000182791,0.000182791,0.000182791
79,1569.82,0.57314,0.43789,1.06148,0.79294,0.66065,0.72349,0.54174,0.80878,1.03817,1.48446,0.000175178,0.000175178,0.000175178
80,1589.26,0.5632,0.42481,1.05712,0.79083,0.66525,0.72011,0.53783,0.79779,1.04465,1.46578,0.000167565,0.000167565,0.000167565
81,1608.94,0.5648,0.43048,1.05726,0.77252,0.66453,0.74017,0.56172,0.8041,1.03325,1.45832,0.000159952,0.000159952,0.000159952
82,1628.46,0.57141,0.42868,1.05912,0.75588,0.66379,0.7137,0.53789,0.8143,1.06634,1.47634,0.000152339,0.000152339,0.000152339
83,1648.38,0.56206,0.42925,1.05979,0.73335,0.71098,0.73651,0.55705,0.79577,1.09027,1.45921,0.000144726,0.000144726,0.000144726
84,1668.02,0.56117,0.42181,1.06003,0.73637,0.67189,0.72693,0.56356,0.79559,1.04212,1.45277,0.000137113,0.000137113,0.000137113
