epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,191.86,0.64417,0.42738,1.0713,0.88877,0.88889,0.95081,0.78348,0.67439,0.42312,1.07818,0.0006734,0.0006734,0.0006734
69,194.41,0.63504,0.42194,1.06096,0.92447,0.88889,0.96365,0.77303,0.72653,0.40186,1.13033,0.0006536,0.0006536,0.0006536
70,196.859,0.62785,0.43096,1.05217,0.93103,0.95726,0.97102,0.78162,0.73173,0.38794,1.17058,0.0006338,0.0006338,0.0006338
71,199.376,0.63957,0.4157,1.05523,0.9291,0.95726,0.96492,0.78521,0.70393,0.41021,1.13915,0.000614,0.000614,0.000614
72,201.942,0.62383,0.43703,1.03991,0.91868,0.96556,0.97588,0.80783,0.64268,0.38841,1.049,0.0005942,0.0005942,0.0005942
73,204.465,0.59185,0.40262,1.04491,0.92639,0.95726,0.9776,0.79348,0.70017,0.38717,1.16056,0.0005744,0.0005744,0.0005744
74,207.121,0.63912,0.41934,1.0639,0.9188,0.97436,0.97221,0.778,0.71209,0.4229,1.1147,0.0005546,0.0005546,0.0005546
75,209.692,0.61963,0.39793,1.04673,0.89026,0.97072,0.96661,0.77814,0.67151,0.41083,1.07413,0.0005348,0.0005348,0.0005348
76,212.269,0.62384,0.41382,1.04837,0.9652,0.94817,0.9752,0.78443,0.67792,0.38221,1.11893,0.000515,0.000515,0.000515
77,214.843,0.60013,0.38778,1.05099,0.93435,0.96581,0.97864,0.78696,0.68631,0.36781,1.16897,0.0004952,0.0004952,0.0004952
78,217.509,0.62782,0.40035,1.06453,0.931,0.94017,0.96976,0.77351,0.68174,0.36354,1.15392,0.0004754,0.0004754,0.0004754
79,220.035,0.61299,0.41034,1.04731,0.90817,0.95726,0.97103,0.79397,0.64373,0.39455,1.06163,0.0004556,0.0004556,0.0004556
80,222.505,0.60031,0.39584,1.03868,0.94346,0.94017,0.97396,0.80202,0.6426,0.34809,1.06959,0.0004358,0.0004358,0.0004358
81,225.026,0.59587,0.38415,1.02984,0.92678,0.97362,0.97292,0.79826,0.65652,0.34738,1.0919,0.000416,0.000416,0.000416
82,227.582,0.6174,0.38835,1.03139,0.94143,0.96171,0.97277,0.79245,0.6338,0.36757,1.03042,0.0003962,0.0003962,0.0003962
83,230.208,0.5788,0.37418,1.02069,0.92422,0.93819,0.96925,0.7891,0.63688,0.36358,1.03443,0.0003764,0.0003764,0.0003764
84,232.812,0.57948,0.36963,1.02212,0.92225,0.95726,0.97518,0.80125,0.64264,0.36809,1.03877,0.0003566,0.0003566,0.0003566
85,235.337,0.5938,0.38593,1.03461,0.91269,0.95726,0.97537,0.78835,0.64741,0.3794,1.03605,0.0003368,0.0003368,0.0003368
86,237.944,0.61596,0.39798,1.036,0.95468,0.94872,0.97436,0.8004,0.64939,0.36498,1.06936,0.000317,0.000317,0.000317
87,240.576,0.56209,0.35798,1.01292,0.93806,0.94872,0.97582,0.8022,0.64607,0.35203,1.06991,0.0002972,0.0002972,0.0002972
88,243.032,0.57045,0.35168,1.02503,0.92576,0.95924,0.97864,0.79823,0.64529,0.36032,1.05526,0.0002774,0.0002774,0.0002774
89,245.524,0.54962,0.35319,1.01503,0.94844,0.94325,0.97712,0.80117,0.6339,0.36285,1.05136,0.0002576,0.0002576,0.0002576
90,248.086,0.5765,0.35991,1.01914,0.92999,0.94872,0.97606,0.8033,0.64985,0.35929,1.06987,0.0002378,0.0002378,0.0002378
91,263.689,0.57377,0.35819,1.00003,0.90193,0.96581,0.97058,0.79757,0.65263,0.35604,1.04559,0.000218,0.000218,0.000218
92,266.299,0.56362,0.3271,0.9922,0.91815,0.95875,0.97109,0.77956,0.69046,0.3678,1.06718,0.0001982,0.0001982,0.0001982
93,268.78,0.54566,0.32107,0.99399,0.90424,0.97436,0.97591,0.77879,0.66657,0.36656,1.05572,0.0001784,0.0001784,0.0001784
94,271.283,0.56335,0.30887,0.9876,0.93609,0.97436,0.97692,0.79254,0.65509,0.36311,1.07394,0.0001586,0.0001586,0.0001586
95,273.979,0.54862,0.30537,0.99674,0.93404,0.96823,0.97641,0.79858,0.64528,0.3499,1.07502,0.0001388,0.0001388,0.0001388
96,276.607,0.52989,0.29189,0.98185,0.92738,0.95726,0.97605,0.79214,0.6341,0.36612,1.05684,0.000119,0.000119,0.000119
97,279.159,0.52673,0.30078,0.98674,0.93175,0.95726,0.97493,0.7862,0.64713,0.35259,1.06192,9.92e-05,9.92e-05,9.92e-05
98,281.856,0.53197,0.29816,0.96789,0.93418,0.94872,0.9778,0.79306,0.65,0.35024,1.09163,7.94e-05,7.94e-05,7.94e-05
99,285.018,0.5355,0.28942,0.97901,0.93294,0.9512,0.97774,0.79712,0.65106,0.35308,1.10325,5.96e-05,5.96e-05,5.96e-05
100,288.228,0.52661,0.29048,0.9704,0.9377,0.94872,0.97873,0.7964,0.65391,0.35485,1.10538,3.98e-05,3.98e-05,3.98e-05
